Item No.,Section,Subtheme,Title / Description,Format,Status,Link
1,Campaign 1 - Collapsing buildings in Tripoli,Coverage,"Collapse of two residential buildings in Tabbaneh, Tripoli – 8 February 2026",Coverage post,Published,
2,Campaign 1 - Collapsing buildings in Tripoli,Officials and experts,Buildings do not collapse suddenly; they give warnings first. The question is: who is listening?,Expert-led content,Published,
3,Campaign 1 - Collapsing buildings in Tripoli,Safety awareness,Sometimes evacuation is the right decision,Awareness video,Published,
4,"Campaign 2 - War (displacement, challenges)",Displacement and shelter,From Tyre to Tripoli: stories of forced displacement and solidarity at the National Theatre,Human-centered report,Published,
5,"Campaign 2 - War (displacement, challenges)",Fuel crisis,Fuel costs before Eid: how expensive has mobility become for people in Tripoli?,Vox pop,Published,
6,"Campaign 2 - War (displacement, challenges)",Transport costs,"Taxi fare increase from 100,000 to 200,000 LBP amid fuel and transport pressures",Street report,Published,
7,"Campaign 2 - War (displacement, challenges)",Casualty monitoring,Monitoring casualties in Lebanon from 2 March – update 1,Monitoring post,Published,
8,"Campaign 2 - War (displacement, challenges)",Casualty monitoring,Monitoring casualties in Lebanon from 2 March – update 2,Monitoring post,Published,
9,"Campaign 2 - War (displacement, challenges)",Casualty monitoring,Monitoring casualties in Lebanon from 2 March – update 3,Monitoring post,Published,
10,"Campaign 2 - War (displacement, challenges)",Casualty monitoring,Monitoring casualties in Lebanon from 2 March – update 4,Monitoring post,Published,
11,"Campaign 2 - War (displacement, challenges)",Casualty monitoring,Monitoring casualties in Lebanon from 2 March – update 5,Monitoring post,Published,
12,"Campaign 2 - War (displacement, challenges)",Casualty monitoring,Monitoring casualties in Lebanon from 2 March – update 6,Monitoring post,Published,
13,"Campaign 2 - War (displacement, challenges)",Casualty monitoring,Monitoring casualties in Lebanon from 2 March – update 7,Monitoring post,Published,
14,"Campaign 2 - War (displacement, challenges)",Casualty monitoring,Monitoring casualties in Lebanon from 2 March – update 8,Monitoring post,Published,
15,"Campaign 2 - War (displacement, challenges)",Casualty monitoring,Monitoring casualties in Lebanon from 2 March – update 9,Monitoring post,Published,
16,"Campaign 2 - War (displacement, challenges)",Casualty monitoring,Monitoring casualties in Lebanon from 2 March – update 10,Monitoring post,Published,
17,"Campaign 2 - War (displacement, challenges)",Casualty monitoring,Monitoring casualties in Lebanon from 2 March – update 11,Monitoring post,Published,
18,Podcast,Haki Teghyiir,"Promo – episode with Sheikh Bilal Baroudi on displacement, the war on Lebanon, religious discourse, and supporting civilians and displaced people with awareness and responsibility",Podcast promo,Published,
19,"Campaign 2 - War (displacement, challenges)",Political and military developments,Netanyahu publicizes his visit to South Lebanon in a post on X as a political signal.,Video reel,Published,
20,"Campaign 2 - War (displacement, challenges)",Regional diplomacy,Failure of the Islamabad negotiations between the United States and Iran after nearly 21 hours of talks.,Video reel,Published,
21,"Campaign 2 - War (displacement, challenges)",Government response,Prime Minister Nawaf Salam postpones his trip to the United Nations and the United States amid the latest escalation.,News post,Published,
22,"Campaign 2 - War (displacement, challenges)",Political positions,Contrasting positions emerge over restricting arms to the state and the continuation of the resistance.,Carousel post,Published,
23,"Campaign 2 - War (displacement, challenges)",Field coverage,Nabatieh comes under one of the largest attacks since the start of the current war.,Video reel,Published,
24,"Campaign 2 - War (displacement, challenges)",Negotiations and diplomacy,Netanyahu says his government wants to begin direct negotiations with Lebanon.,Carousel post,Published,
25,"Campaign 2 - War (displacement, challenges)",Damage documentation,Additional images from Ain El Mreisseh in Beirut document the scale of damage after the latest strike.,Carousel post,Published,
26,"Campaign 2 - War (displacement, challenges)",Damage documentation,"Additional images document the destruction in Corniche al-Mazraa, Beirut, following the Israeli strikes.",Carousel post,Published,
27,"Campaign 2 - War (displacement, challenges)",Government response,Nawaf Salam announces a set of decisions following the latest Israeli escalation.,Carousel post,Published,
28,"Campaign 2 - War (displacement, challenges)",Damage documentation,From Corniche al-Mazraa in Beirut on 9 April 2026: civilians inspect the extent of the destruction after the latest strikes.,Carousel post,Published,
29,"Campaign 2 - War (displacement, challenges)",Displacement and social cohesion,Lebanon 2026: Beyond the Numbers of Displacement — How Did Tripoli Re-Engineer Social Cohesion? (Instagram promo),Instagram article promo,Published,
30,Campaign 1 - Collapsing buildings in Tripoli,Structural accountability,Engineering Collapse in Tripoli: Deconstructing the Structural Triad and the Matrix of Deferred Accountability (Instagram promo),Instagram article promo,Published,
31,Campaign 1 - Collapsing buildings in Tripoli,Municipal response and governance,Engineering Emancipation from Deadly Routine (Instagram promo),Instagram article promo,Published,
32,Podcast,Haki Teghyiir – Wael Zmerly,Promo – Haki Teghyiir episode with Eng. Wael Zmerly,Podcast promo,Published,
33,Podcast,Haki Teghyiir – Wael Zmerly,Full episode – Haki Teghyiir with Eng. Wael Zmerly,Full podcast episode,Published,
34,Podcast,Haki Teghyiir – Mostafa Fakher El Dine,Promo – Haki Teghyiir episode with Eng. Mostafa Fakher El Dine,Podcast promo,Published,
35,Podcast,Haki Teghyiir – Mostafa Fakher El Dine,Full episode – Haki Teghyiir with Eng. Mostafa Fakher El Dine,Full podcast episode,Published,
36,"Campaign 2 - War (displacement, challenges)",Displacement and social cohesion,Lebanon 2026: Beyond the Numbers of Displacement — How Did Tripoli Re-Engineer Social Cohesion? (English article),Article (EN),Published,
